ml_algo,bias,Monte_carlo_SE_bias,prct_bias,Monte_carlo_SE_prct_bias,abs_bias,Monte_carlo_abs_bias_SE,MSE,Monte_carlo_SE_MSE,empirical_SE,Monte_carlo_SE_empirical,time,nancount,n_conf,n_observations,iterations_monte_carlo,B_T,gamma,lam,linear,outcome_nuisance,propensity_nuisance,x_omit,Scenario,cov,Correlation,RMSE,DGP
Linear Regression,0.3023415505288038,0.0026177542906879,30.23415505288038,0.2617754290687978,0.3023415505288038,0.0026177542906879,0.0948298793018426,0.0016143321622147,0.0585347654237006,0.0018528856234194,0.0139499998092651,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X2,S,0.0530362448019168,0.0322322623305749,0.30794460427460424,Linear
DML,-1.258982778433631,0.0214052429715959,-125.89827784336308,2.140524297159597,1.2591150739463022,0.0213896429464775,1.8136716653023204,0.0573304751588576,0.4786357835938819,0.0151509509922138,3.483363151550293,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X2,S,0.0530362448019168,0.0322322623305749,1.3467262770519925,Linear
T-learner,0.7276643915962225,0.0026562099479506,72.76643915962225,0.2656209947950618,0.7276643915962225,0.0026562099479506,0.5330161369896106,0.0038874063972168,0.0593946600612876,0.0018801051125573,0.36943199634552,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X2,S,0.0530362448019168,0.0322322623305749,0.7300795415498305,Linear
X-learner,0.4001206911231239,0.0029063612363388,40.01206911231239,0.2906361236338837,0.4001206911231239,0.0029063612363388,0.1643115883472564,0.0023456382967881,0.0649882129162397,0.00205716593434,3.4359207344055176,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X2,S,0.0530362448019168,0.0322322623305749,0.4053536583617525,Linear
XBCF,0.5215184806653778,0.0027708203092751,52.151848066537774,0.2770820309275137,0.5215184806653778,0.0027708203092751,0.2758125708234838,0.002908797500073,0.0619574256497619,0.0019612280397734,1.5525961542129516,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X2,S,0.0530362448019168,0.0322322623305749,0.525178608497608,Linear
Linear Regression,0.0267628557112726,0.0024819234406699,2.676285571127264,0.2481923440669946,0.0495750950465255,0.0016340394858753,0.0037900624845305,0.000232294321469,0.0554974952828816,0.0017567425170513,0.0119974565505981,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15,W,0.0053989601947779,0.003366253370031,0.061563483369043534,Linear
DML,-1.8874496302402008,0.0204284073958318,-188.74496302402005,2.0428407395831853,1.8874496302402008,0.0204284073958318,3.770708701230185,0.0796682174674758,0.4567930760913948,0.0144595321676066,2.8866724491119387,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15,W,0.0053989601947779,0.003366253370031,1.941831275170473,Linear
T-learner,0.5969714282450249,0.0025115158407651,59.69714282450249,0.2511515840765183,0.5969714282450249,0.0025115158407651,0.3595224343382932,0.0029981021102456,0.0561592014651848,0.0017776884602569,0.5883110570907593,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15,W,0.0053989601947779,0.003366253370031,0.5996018965432758,Linear
X-learner,0.1673493733453941,0.0028194599320021,16.734937334539417,0.2819459932002139,0.1676707059181628,0.0027809381700719,0.0319725405588707,0.0009662441154573,0.0630450406779371,0.0019956558919214,3.3698636198043825,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X15,W,0.0053989601947779,0.003366253370031,0.17880867025642436,Linear
XBCF,0.2818122517815789,0.0026838101682596,28.18122517815789,0.2683810168259641,0.2818122517815789,0.0026838101682596,0.0830123609268115,0.0015081775732134,0.060011819749337,0.0018996409611264,1.6193132019042968,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X15,W,0.0053989601947779,0.003366253370031,0.28811865772075834,Linear
